图鉴ID,物件ID,SceneID,GroupID,ConfigID,景观名称$text_name_Name,描述$text_name_Desc,图片,城市ID,区域ID,序号,已废弃,解锁才显示
70200001,70800028,3,133102011,11001,远眺高车之所,端坐荻花洲南端的客栈，似乎也承担着客栈以外的使命。据说望舒客栈的楼阁是恋人共约赏月的胜地。坊间有传说道，纵然贵为仙人者，偶尔也会在此沐浴清冷的月光…,UI_Codex_Scenery_LYwangshukezhan,2,2504,105,,
70200002,70800028,3,133102012,12001,轻策山间,高大的轻策山慈悲地怀抱着安乐无虞的村庄，静静守护着其中的老者、孩童与丰饶的田地。而山下镇压着古老妖异的传说早已同讲述者一齐老去，亦不复归。,UI_Codex_Scenery_LYqingcezhuang,2,2507,108,,
70200003,70800028,3,133102014,14001,水泽荻原,此间是沙沙作响的荻草与蛙声和鸣之地，也是古代无数侠客最后的安息之所。,UI_Codex_Scenery_LYdihuazhou,2,2503,106,,
70200004,70800028,3,133103568,568001,千峰绝云之间,传说仙家寄寓此间千百石峰与翻腾云霭之间。是凡骨之躯难以企及的地方。,UI_Codex_Scenery_LYjueyunjian,2,2601,109,,
70200005,70800028,3,133103569,569001,雾海中的石林,云中有如亭阁般耸立的石峰。纵使知晓此间绝非凡人应当涉足之地，这样的华光雾海也会有如漩涡一般，吸引着憧憬天空、憧憬仙居之人吧。,UI_Codex_Scenery_LYhuaguanglin,2,2602,111,,
70200006,70800028,3,133103573,573001,沐浴月光之树,枝头流淌着清冷的月光的奇树。深入地心的根系末端，是否又连结着某种等待着再次沐浴月光的悠古之物呢…,UI_Codex_Scenery_LYnantianmen,2,2605,110,,
70200007,70800028,3,133104691,691001,归离城墟,曾经盛开着某种花卉的繁华城集。但美梦最终醒转，乐土终究毁于乱世，归人复离。,UI_Codex_Scenery_LYguiliyuan,2,2505,107,,
70200008,70800028,3,133104692,692001,盈泪的故园,传说是深情清澈的相思盈满了旧日的园圃，造就了渌华池如今的景象。,UI_Codex_Scenery_LYluhuachi,2,2509,112,,
70200009,70800028,3,133104693,693001,靖世九柱,浅眠在翠玦坡的山谷深处的，传说祓除妖异、靖却世间邪妄的九柱石锁。,UI_Codex_Scenery_LYjingshijiuzhu,2,2607,117,,
70200010,70800028,3,133106321,321001,青墟孤楼,矗立在青潭之间的荒废城楼。如今依旧守护着早已化为土灰的高傲过往。,UI_Codex_Scenery_LYqingxupu,2,2803,116,,
70200011,70800028,3,133106322,322001,遁玉古陵,「美玉遁藏之地」。但昔日发生在此地的战争早已结束，因玉而辉的古陵早已毁灭。如今只有流水之声陌陌低语。,UI_Codex_Scenery_LYdunyuling,2,2801,115,,
70200012,70800028,3,133106323,323001,层岩巨渊外,连接璃月港与名为层岩巨渊的巨大矿坑的中转站，近来因为层岩巨渊深处的某种变故而停止运作。,UI_Codex_Scenery_LYkuangchang,2,2200,114,,
70200013,70800028,3,133107130,130001,千船万商云集之地,千帆汇集的繁荣海港。在无数契约规约之下，百货迭出，宝飨七国。欢迎来到璃月，遍行四方的旅人。,UI_Codex_Scenery_LYliyuegang,2,2701,101,,
70200014,70800028,3,133107131,131001,玉京台,远离嚣闹的港口，依着天衡山高高升起。「七星」与诸商会的首脑，在此驱动着璃月驶向无止境的平稳与繁华。,UI_Codex_Scenery_LYyujingtai,2,2701,104,,
70200015,70800028,3,133107132,132001,吃虎岩,璃月港永远搏动的心脏，为之输送活力十足的血液。此处忙碌热闹的市井景象，正是璃月港无限生机之所在。,UI_Codex_Scenery_LYchihuyan,2,2701,103,,
70200016,70800028,3,133107133,133001,绯云坡,诸商行兴隆发达，居民富足无忧的繁华之所，灯火熙熙攘攘，长明不灭。,UI_Codex_Scenery_LYfeiyunpo,2,2701,102,,
70200017,70800028,3,133108149,149001,瀚海孤云,传说是帝君镇压海中妖物留下的孤傲石峰。据说，心神敏感者偶然会在睡梦中听见，磐岩镇压的海床深处传来的某种律动。,UI_Codex_Scenery_LYguyunge,2,2703,113,,
70300001,70800028,3,133209040,40001,鸣神·离岛,传说数百年前，勘定奉行柊弘嗣曾从荒岛之上奇迹般地建起一座繁荣的商贸中心，令将军殿下刮目相看。「锁国令」实行的日子里，勘定奉行府上依旧灯火通明，来自远国的商户却已寂寥怆然，不复百年前熙攘之貌。或许这便是凡人之业的最好写照：成于一夕者，亦将败于一朝。,UI_Codex_Scenery_DQlidao,3,3102,201,,
70300002,70800028,3,133220441,441001,月光下的神林,传说在过去，这片神林曾是诸多妖怪栖身之处。如今，关于这片静谧的林地，仍有妖狸的「狸囃子」传说。,UI_Codex_Scenery_DQshouhuzhisen,3,3106,204,,
70300003,70800028,3,133221027,27001,稻妻城·天领,诸多街巷坂道延伸交割，最终集于天守前。天守是稻妻无可置疑的权力中心，在大御所将军殿下永恒静谧的注视下，熙攘的万民终将摆脱执念的烦恼，走向不再需要追逐竞夺愿望的乐土——只不过，将军所见的那片净土，究竟是何风景呢？,UI_Codex_Scenery_DQdaoqichengfujiao,3,3101,202,,
70300004,70800028,3,133220015,15001,稻妻城·城郊,沿古老的坂道逐步上行，稻妻城的城郊是一片颇有古风的闲适景象。似乎城内的繁华胜景并未感染此处的风光。将军的威势与恩惠同样在此弥布，带来了静谧而别样的生机。,UI_Codex_Scenery_DQdaoqichengyangjiao,3,3101,203,,
70300005,70800028,3,133220454,454001,影向山·鸣神大社,鸣神大社坐落于影向山顶，守护着独一无二的神樱，是稻妻最大的神社。在并不太平的今日，为稻妻的民众提供可贵的慰藉与安宁。 ,UI_Codex_Scenery_DQmingshendashe,3,3109,205,,
70300006,70800028,3,133213086,86001,远眺踏鞴之岛,此处重峦叠嶂的环形岛屿是幕府的冶炼设施的最佳地形屏障。此处宏伟的巨型高炉曾源源不断地为稻妻生产高质量玉钢。但近来由于战事，驱动生产的「御影炉心」遭到了破坏。,UI_Codex_Scenery_DQgaolu,3,3200,206,,
70300007,70800028,3,133213087,87001,神无冢·阵前,传说在数百年前的灾事中，将军殿下倚重的凡人名将九条重赖短短一夜间便筑起阵城，与漆黑的军势对抗，高扬「雷之三重巴」的旗印。数百年后，九条家的后人亦传承了出色的军事工程技术。,UI_Codex_Scenery_DQjiutiaozhenwu,3,3202,207,,
70300008,70800028,3,133212305,305001,高眺之蛇首,传说中曾经深入深海的巨蛇，最终在八酝岛归于沉默。又有传说说海风穿过巨蛇的双眼、利齿时会发出阵阵如同哨子的声响，那是它为自己所作的镇魂诗。如今这首镇魂诗也同样为所有在战争中倒下、流离失所的人而吟。,UI_Codex_Scenery_DQlongtou,3,3307,210,,
70300009,70800028,3,133212306,306001,战火中的滩涂,「名椎」在稻妻先民的古老语言中有「为神灵之手温柔爱抚」之含义。但讽刺的是，自千百年前至今，名椎滩便饱受战乱的摧残，落得居民寥寥，也成了拾荒者与海贼的天地。,UI_Codex_Scenery_DQmingzhuitan,3,3302,208,,
70300010,70800028,3,133212307,307001,八酝岛·裂谷,传说中，终结蛇神的一刀正是在此处斩下的。在这道横贯八酝岛的深邃峡谷中，雷光的残响至今不绝，仿佛属雷的精灵仍在喋喋不休地议论着数千年前，划开天空与大地的传奇光景…,UI_Codex_Scenery_DQwuxiangrenxiajian,3,3304,209,,
70300011,70800028,3,133211021,21001,珠光弥布的宫阙,海祇岛住民的政治中心与信仰集聚之地，礁岩与巨贝拱卫的宫阙隐居着蛇神的孑遗。,UI_Codex_Scenery_DQ2shanhugong,3,3501,215,,
70300012,70800028,3,133210490,490001,月浴之渊,「渊下宫」入口之所在，池水终年闪烁着比拟月华的磷光，因而得名「月浴」。,UI_Codex_Scenery_DQ2yuanxiagong,3,3501,217,,
70300013,70800028,3,133210489,489001,海渊民的村落,海祇岛上的古老村庄，据说其居民祖辈自海渊而来。\n也是对向「眼狩令」揭旗抵抗之人重要的据点。,UI_Codex_Scenery_DQ2wanglongcun,3,3503,216,,
70300014,70800028,3,133217239,239001,雷云旋聚之处,海天变色的大战已成为渐被遗忘的过去，应唤而来的悠远雷暴依然在此驻留。,UI_Codex_Scenery_DQ2leibao,3,3401,214,,
70300015,70800028,3,133217238,238001,搁浅的旗舰,破落的安宅船也曾经历宏伟年代，星光垂泪的遗骸中，依稀可见在昔日巫女与乡老祝福下骄傲扬帆的光景。,UI_Codex_Scenery_DQ2qinglaiwan,3,3403,212,,
70300016,70800028,3,133217236,236001,寂静的渔村,旧日的笑语蝉鸣终湮于雷的威声。今人只记得，这是一座因无羁的雷电而废弃的村庄。,UI_Codex_Scenery_DQ2yueshicun,3,3404,211,,
70300017,70800028,3,133217237,237001,代宫司寝子大人的居所,「『阿响』会回来的。」\n「多亏了汝等，神社打理得很好了。她很快就会回来了。」,UI_Codex_Scenery_DQ2qianlaishenshe,3,3402,213,,1
70300018,70800028,3,133225174,174001,鹤观,「啊啊，美丽的鸟，如神的鹫鸟啊。」\n「我们一同沉睡在蛛丝般的雾巢中。」,UI_Codex_Scenery_DQ3heguan,3,3600,218,,1
70200018,70800028,3,133106574,574001,层岩巨渊地面景观,「初来此地时，望见如此奇迹般的可怖地貌曾一度惊愕失声…那时的震撼与敬畏感，至今没有忘记。」\n「但被总务司支使着跑上跑下久了，就算再巧夺天工的奇景也难免厌烦了…」\n「说到这里，不得不多谢前辈的相助，我才能继续自己的冒险…」,UI_Codex_Scenery_CYCengYanJuYuanZhu,2,2200,118,,1
70200019,70800028,3,133106575,575001,矿坑巨口,「层岩巨渊矿井的入口，被矿工们敬畏地称作『巨渊之口』。最近那场地震发生后，本就被七星封闭的坑口更显诡谲难测…」\n「在前辈的忙碌下，封印巨口的法印终于被解除了。希望『七星』不要怪罪下来才好…」,UI_Codex_Scenery_CYJuYuanDongKouJieSuo,2,2202,119,,1
70200020,70800028,3,133106576,576001,伏鳌谷古战场,「此地曾是若陀龙王与岩王帝君死斗的战场。我只是一个经验浅薄的年轻冒险家，提笔弄墨本非所长…但目睹这样的奇观，仍然不觉感慨。」\n「与不舍昼夜的时空、震天撼地的巨神相比，我们身为凡人如何渺小…」,UI_Codex_Scenery_CYGuZhanChang,2,2200,120,,
70200021,70800028,6,166001643,643001,地下矿区,「我曾在明蕴镇矿区长大，矿工们热闹嘈杂的劳动生息、矿工们的喜怒哀乐，占满了我的整个童年生活。」\n「如今面对更加宏大却寂静无人的地下矿道，心中有如昨日重现，只不过是更加寂寥忧郁的昨日…」,UI_Codex_Scenery_JYKaiCaiKuangQuZhu,2,3900,121,,
70200022,70800028,6,166001644,644001,被阻塞的矿道,「当年撤离层岩巨渊的工人们将通往更深处的矿道封闭了，却保留下来了一尊『开山炮』。」\n「或许是当年大人物的特别指令吧…璃月蓬勃的商业，可不能离开琉璃晶砂的滋养太久。」,UI_Codex_Scenery_JYQianXianZhanDao,2,3901,122,,
70200023,70800028,6,166001645,645001,地下水泽,「独自勘探的路上，发现了这处水泽。池水清凉洁净，在这里放松一下正好，将一路上的晦气洗濯一空。」\n「附近徘徊着一些温和的元素生物，慢悠悠的，罕见的与世无争之物…将它画在了地图上，如果前辈能顺着地图来到这里就好了。」,UI_Codex_Scenery_JYDiXiaShuiZe,2,3903,123,,
70200024,70800028,6,166001646,646001,晶石碎片,「曾经存在于此的晶石正是当年迫使层岩巨渊关闭的『元凶』，如今它的异动又令总务司惊悚不已。」\n「幸有前辈相助，它已经回归了地下更深处的渊薮，空留这座冷峻的『岩石行宫』。」,UI_Codex_Scenery_JYXiaoSuiPianJieSuo,2,3904,124,,1
70200025,70800028,6,166001647,647001,颠倒古城,「独自探索的路上，发现了这座宏大可怖的遗迹。或许是千百年前遭受惩罚而湮灭的古老文明，这座古城似乎在抗拒着外人的存在…或许与那些来历不明的紫黑色晶体与泥状物有关。」\n「驻足片刻，我只得远离这不祥的倒吊剪影。」,UI_Codex_Scenery_JYDianDaoYiJiJieSuo,2,3905,125,,1
70200026,70800028,6,166001648,648001,大蘑菇之地,「生长着奇怪巨大蘑菇的地下洞穴，似乎能听到诡异的呼唤声。也许是我的幻觉，出现幻觉则说明这里应该充满了有毒气体，应该尽快离开。」,UI_Codex_Scenery_JYDaMoGu,2,3906,126,,
70200027,70800028,6,166001649,649001,巨柱岩宫,「尽管前辈警告再三，我还是跟随着{M#他}{F#她}的脚步来到了这片区域。」\n「天空般湛蓝的晶石巨柱，是我难以理解的景象…这是绝不属于大地的造物，只可能来自同它一般耀眼的天空。」\n「为了破解它的谜团，我决定通过隐秘的通道继续向深处探索…不知之后还能走多远，能否留下任何记录…」,UI_Codex_Scenery_JYDaSuiPianJieSuo,2,3900,127,,1
70400001,70800028,3,133301414,414001,一切智慧具足之城,地上一切智慧的渊薮。在繁枝茂叶的圣树之下，学城的贤者们已遍计所有知识。欢迎来到须弥，寻找答案的旅人。,UI_Codex_Scenery_XMXuMiChengYuanJing,4,4500,301,,
70400002,70800028,3,133301415,415001,林上的化城,「智慧的华城属于我们，无明的密林亦然。那宝树上缀满的，是失梦之国的余物。」,UI_Codex_Scenery_XMHuaChengGuo,4,4501,302,,
70400003,70800028,3,133301416,416001,临河的村庄,维摩庄中除了宁静的生活外，别无他物。疲惫的旅人，请好好休息一下吧。,UI_Codex_Scenery_XMWeiMoZhuang,4,4202,303,,1
70400004,70800028,3,133301441,441001,双树控扼的港湾,「贤者的说教何其枯燥，不如斟满花酿的美酒，踏上征服七海的航程。」,UI_Codex_Scenery_XMAoMoSiGang,4,4200,304,,
70400005,70800028,3,133301495,495001,卡萨扎莱宫的回忆,在林中深处的宫殿前，有一片紫色的园林。繁花锦簇，莺鸟欢歌，正适合出演一场美丽的邂逅。,UI_Codex_Scenery_XMDaBieShu,4,4100,305,,
70400006,70800028,3,133301585,585001,沉思的花园,花园中播种着无数的花卉，每一朵都要比晶蝶更加绚丽。这是善思之人所蒙许的乐园。,UI_Codex_Scenery_XMChanNaHuaYuan,4,4401,306,,
70400007,70800028,3,133301586,586001,高墙下的边驿,高大的坚壁抵御了热砂的风暴，也隔绝了知识的恩典。但神明的慧光不是本应普照所有人吗？,UI_Codex_Scenery_XMFangShaBi,4,4404,307,,
70400008,70800028,3,133301587,587001,遥望降魔的巨人,「诸位，古国坎瑞亚数千年的历史在看着我们！」,UI_Codex_Scenery_XMDaJiQiRenYuanJin,4,4204,308,,1
70400009,70800028,3,133301588,588001,法留纳法宝,法留纳神机的力量的显现。带来生命的水，把巴螺迦变成桓那，让不毛的土地从此充满生机。,UI_Codex_Scenery_XMHuiLiuZhiZhu,4,4403,309,,1
70400010,70800028,3,133301589,589001,雨的尽头,「这里是没有雨的地方，又是雨诞生的地方。净化桓那的雨，从这里开始，也在这里结束。」,UI_Codex_Scenery_XMYuDeJinTou,4,4406,310,,1
70400011,70800028,3,133301590,590001,无郁夷摩之地,森林的记忆与梦汇集之处，似乎拥有着自己的意识。,UI_Codex_Scenery_XMDianDaoJuRenZhiBei,4,4101,311,,1
70400012,70800028,3,133301591,591001,兰纳迦的小小园圃,在这里，石榴歌唱，苹果鼓掌。,UI_Codex_Scenery_XMZhengFaJuShuDeMiaoPu,4,4101,312,,1
70400013,70800028,3,133301592,592001,兰那罗的世界,「不管天空、大地有多么灰暗，只要你的心一直像太阳一样，发出金色的、温暖的光，那就有一直都会有希望。」,UI_Codex_Scenery_XMHengNaLanNAMengJing,4,4400,313,,1
70400014,70800028,3,133301593,593001,失梦的苗圃,「挚友将再次同行于茂密的森林中。一切美好的事物终将归来，一切痛苦的记忆也会远去，就像溪水净化自己，枯树绽出新芽。」,UI_Codex_Scenery_XMWangXiDeHengNaLanNa,4,4602,314,,1
70400015,70800028,3,133301594,594001,小小的梦,尽管拙劣，但他似乎为了迎接那菈朋友，做了许多准备。,UI_Codex_Scenery_XMShaZhongGuLiMengJing,4,4603,315,,1
70400016,70800028,3,133301595,595001,苗圃的新芽,森林会记住一切。,UI_Codex_Scenery_XMWuLiuTuoBOSSZhanChang,4,4604,316,,1
70400017,70800028,3,133308186,186001,飞沙起舞的不毛地,防沙壁以西，曾经也是一位神明的居所，也许在那时，沙漠也曾经是众生的乐园，智慧汇聚之所。而不是如同今日这般，举目所见，除却风暴以外，只有让人徒生感叹的陈迹。,UI_Codex_Scenery_XMShaMoQuanJing,4,4700,317,,
70400018,70800028,3,133308198,198001,「背弃之塔」,赤王逝去后矗立于此的宏大尖碑，沙漠住民称之为「背弃之塔」，将它们视作耻辱的标志，意味着沙漠诸王背弃了同赤王的誓约…\n它们的真实历史或许早于短寿的沙漠诸国，但早已被今人遗忘。,UI_Codex_Scenery_XMJuDaFangJianBei,4,4700,318,,
70400019,70800028,3,133308219,219001,遗民聚居之所,「蓝宝石之城」图莱杜拉的巧舌诗人、萨勒赫城金瞳的赛莫德角斗士，阿伊·哈努姆的镇灵…赤王的伟大国度崩溃后产生和消亡的无数国度、英雄及其故事，在这座村庄化作了古老的童谣，轻响在幼童的枕边…\n长年以来，赤王的遗民早已混淆了历史与传说的界限，将之交融成浑然一体的回忆…,UI_Codex_Scenery_XMARuCun,4,4701,319,,
70400020,70800028,3,133308228,228001,赛莫德绿洲,金瞳的赛莫德人同他们七重城墙的宏伟城邦崛起于古国的尸骸之上，旋又覆灭于诸国争斗的漩涡之中…\n短寿的国度沦亡已久，绿洲却仍如宝石一般点缀在沙海之上，以甘泉芳草招待往来的商队与流浪者。,UI_Codex_Scenery_XMLvZhou,4,4700,320,,
70400021,70800028,3,133308235,235001,赤王陵,巨大的锥体像是支撑在高天与黄沙之间的柱石，从不知何时的过去就伫立于沙漠正中。站在它的面前，无论是平民、富有者亦或是饱识的学者，都不过是几粒沙尘。,UI_Codex_Scenery_XMChiWangLing,4,4801,321,,
70400022,70800028,3,133308276,276001,深埋地下的千间宫室,在黄沙无法肆虐的幽暗处，无数间宫室与塑像久久沉睡，等待着自己的主人再度巡游至此的时日…,UI_Codex_Scenery_XMDiXiaDongXue,4,4800,322,,
70400023,70800028,3,133308298,298001,圣显厅,「黄金的梦乡在召唤流浪的沙子，在这里不必将那苦涩的盐水掬饮，在这里不会再有明日的愁肠。」,UI_Codex_Scenery_XMSengXianTing,4,4702,323,,1
70400024,70800028,3,133308307,307001,无底的大厅,传说，在沙漠的深处，古老的神明试图将神话中的幽冥与天国一一再现，让那些有罪之人堕入幽冥，受他眷顾的子民居于乐土。,UI_Codex_Scenery_XMDuETing,4,4805,324,,
70400025,70800028,3,133308326,326001,阿如的倒影,在赤王陵顶端的顶端，并没有令人垂涎的宝藏，亦没有镶嵌宝石的殿宇，只有与沙漠别无二致的荒芜与衰颓，只有那宏大梦想破碎的痕迹。,UI_Codex_Scenery_XMARuDeDaoYing,4,4801,325,,1
70400026,70800028,3,133308334,334001,风蚀谷地中的巨人,巨人在山谷之间归于沉寂，过往黑渊的魔群仿佛是诗歌的夸张叙事。只有那足够摧山崩岩的力量，是学者所言非虚的最好证明。,UI_Codex_Scenery_XMDaJiQiRen,4,4901,326,,1
70400027,70800028,3,133308345,345001,并无活力的活力之家,以对患者的祈愿而命名的医院，如今不见了医者的身影与病愈者的欢歌，只剩下一片残迹。,UI_Codex_Scenery_XMMoLinBingYiYuan,4,4703,327,,
70400028,70800028,3,133308347,347001,远眺葱茏之野,从荒芜的沙漠远眺藏匿智慧的森林国度，深绿的遥远剪影阻隔在阻拦沙暴的高墙之后，冷眼睥睨着热风中飘摇的沙之国度…\n赤王之国覆灭后破碎诸国的时代，藩王们也曾以嫉恨的目光，在此遥望丰裕的国土吧…,UI_Codex_Scenery_XMYuanTiaoXuMiCheng,4,4700,328,,
